white	n	the chair
white	n	a big ol’ fruit
white	np	shaved bears
white	n	a weak spot
white	np	butt sounds
white	np	urine sprinkles
white	v	solving a problem
white	nc	seed
white	v	smashing skulls
white	vt	porkin’
white	vt	licking
white	n	a sarcastic horse
white	np	I don’t know what, but BILLIONS of them
white	v	crashing out of a window
white	n	an exploding car
white	np	witnesses
white	n	a gasoline enema
white	np	demons
white	n	a refreshing douche of Sprite®
white	n	a pinch
white	n	no spider
white	n	a skull on a spike
white	n	a wild animal
white	n	a tiny Jamaican
white	n	more blood
white	n	some seriously fucked shit
white	nc	goat porn
white	nc	just a bit of cocaine
white	n	an elevator
white	nc	nudity
white	np	bodily fluids
white	np	self-inflicted wounds
white	ncvt	shaking
white	ncvt	rolling
white	ncvt	flailing
white	n	a rough testicle
white	np	landlubbers
white	np	drugs
white	n	the most beautiful face ever
white	n	a rip
white	np	sliced vegetables
white	nc	butter sauce
white	np	Fancy Santas
white	n	an old hornet
white	np	frozen people
white	n	a beefy meal
white	nc	dark magic
white	n	a strap-on
white	n	a crudely-drawn dick
white	n	a wet tongue
white	n	a certain je ne sais quoi
white	np	dryness problems
white	v	shimmying up the pole
white	n	a tickle
white	np	wriggly little worms
white	n	crush beast
white	np	beets. Mashed beets
white	np	great tits
white	np	mediocre tits
white	n	the girl next door
white	v	subduing your cell-mate and making him your wife
white	n	a mind-erasing kit
white	n	the body
white	np	oozing holes
white	n	an invisible wall
white	nc	slaughter
white	nc	hog dander
white	nc	nothing at all
white	n	a big surprise
white	v	gettin’ all up close
white	np	rude kids
white	np	smooth boys
white	n	an orbital laser satellite
white	np	space Nazis
white	n	the taste of Rohypnol
white	n	a gurgling anus
white	n	a ripcord
white	n	a girl who knows what she wants, but not quite how to get it
white	np	hyperactive legs
white	nc	adult language
white	np	stubby fingers
white	v	being in the way
white	v	being the small spoon
white	n	The Super Buttsex Arena
white	np	little turds everywhere
white	v	being a bad little boy
white	n	my first wife
white	np	somersaults
white	n	just a peek
white	np	lips
white	v	getting groped by a senator
white	n	a crazy cat lady
white	v	keepin’ it tight
white	ncvt	hate-fucking
white	nc	bromance
white	nc	existential ennui
white	n	a raisin or maybe rabbit poop
white	v	closing her legs
white	n	a human-sized harness
white	np	mammaries
white	np	ghosts who don’t know what they’re doing
white	n	a snake pit
white	nc	pity
white	np	feminine hygiene products
white	nc	all sorts of shit
white	n	one more
white	n	a hidden pancake
white	nc	too much denim
white	n	a quality buttplug
white	n	a plug for the other hole
white	n	a leak
white	w	BOOM BOOM BOOM BOOM
